,その裏側にある感情の代弁,2,8,
,寄り添いと突き放し,2,9,
イントロ,このあとへの興味付けを加える,6,10,
,比較を用いて伝える,4,11,
,例え話で伝える,6,12,
解決,正解を断定的に伝える,4,13,"社長が現場で一番うまくやる必要はありません
「自分がやった方が早い」は一番高いコストです
社長の仕事は包丁を握ることではなく意思決定です"
,具体内容,6,14,
,解決策,6,15,
,見てる人の感情をなぞる,5,16,
エンド,自分の主張を曖昧にせず簡潔に完結させ、何かしらの行動を起こす示唆出し,4,17,"社長が現場を回すほど、会社は前に進みません
明日の予定を見て、作業か意思決定か仕分けしてください
料理ができなくてもいいので決められる社長でいてください"
,,,,
,"10
今伸びてるもの",,ネタメモ：お店を始める時にデザイナーは絶対入れろ,
構成,,秒数,シーン,"①セリフを考える（ライティング）
10本目"
フック,"主張をはっきりさせた結論＋問題定義
（極論でOK)",2,1,お店を始める時に空間デザイナーを入れへんお店は確実に高くつきます
問題提起,視聴者の感情を代弁,2,2,
,視聴者のやりがちな行動を代弁,2,3,
,それらを否定,1,4,
,"その問題を放置するといずれ訪れる
「最悪の未来」",3,5,
問題拡張,コールドリーディングで掌握,3,6,
,あなたのニーズや悩みの理解してますよ,2,7,
,その裏側にある感情の代弁,2,8,
,寄り添いと突き放し,2,9,
イントロ,このあとへの興味付けを加える,6,10,
,比較を用いて伝える,4,11,
,例え話で伝える,6,12,
解決,正解を断定的に伝える,4,13,"DIYでええわって初期費用を下げたつもりで将来コストを爆増させます
内装で一番高くつくのはやり直しです
・動線が悪くてオペが詰まる
・席配置を変えたくなって壁を壊す
・照明や色が合わず撮影し直す
・コンセプトが曖昧で客層がズレる
これ、全部開業後に気づくから高いんです"
,具体内容,6,14,
,解決策,6,15,
,見てる人の感情をなぞる,5,16,
エンド,自分の主張を曖昧にせず簡潔に完結させ、何かしらの行動を起こす示唆出し,4,17,"内装は「安く作る」ものじゃない
「動線を考えた上で作る」ものです
半年後も同じ形で使えてるか？を想像してください
ここはケチらずしっかりプロを入れましょう"
,,,,
,"11
新テーマ",,ネタメモ：月次決算は出せ,
構成,,秒数,シーン,"①セリフを考える（ライティング）
11本目"
フック,"主張をはっきりさせた結論＋問題定義
（極論でOK)",2,1,月次決算出してへん経営は上手く行くはずがないんです
問題提起,視聴者の感情を代弁,2,2,
,視聴者のやりがちな行動を代弁,2,3,
,それらを否定,1,4,
,"その問題を放置するといずれ訪れる
「最悪の未来」",3,5,
問題拡張,コールドリーディングで掌握,3,6,
,あなたのニーズや悩みの理解してますよ,2,7,
,その裏側にある感情の代弁,2,8,
,寄り添いと突き放し,2,9,
イントロ,このあとへの興味付けを加える,6,10,
,比較を用いて伝える,4,11,
,例え話で伝える,6,12,
解決,正解を断定的に伝える,4,13,"決算書だけ見て年１で見てるってそれ手遅れになってから原因を探しているだけですよ
コストは月次でしか制御できません
ズレを小さいうちに潰すため月次決算を出してください"
,具体内容,6,14,
,解決策,6,15,
,見てる人の感情をなぞる,5,16,
エンド,自分の主張を曖昧にせず簡潔に完結させ、何かしらの行動を起こす示唆出し,4,17,"先月分の「売上・原価・人件費」この3つを、1枚にまとめてください
細かい勘定科目はいらないのでまずは毎月、同じ数字を見る癖をつけましょう"
,,,,
,"12
トリガー",,ネタメモ：ID、PASS管理してますか？,
構成,,秒数,シーン,"①セリフを考える（ライティング）
12本目"
フック,"主張をはっきりさせた結論＋問題定義
（極論でOK)",2,1,IDとパスワードを管理していない店は、いつ営業停止してもおかしくありません
問題提起,視聴者の感情を代弁,2,2,
,視聴者のやりがちな行動を代弁,2,3,
,それらを否定,1,4,
,"その問題を放置するといずれ訪れる
「最悪の未来」",3,5,
問題拡張,コールドリーディングで掌握,3,6,
,あなたのニーズや悩みの理解してますよ,2,7,
,その裏側にある感情の代弁,2,8,
,寄り添いと突き放し,2,9,
イントロ,このあとへの興味付けを加える,6,10,
,比較を用いて伝える,4,11,
,例え話で伝える,6,12,
解決,正解を断定的に伝える,4,13,"ID／PASS管理は“ITの話”ではなく経営リスク管理の話です
今の飲食店は、ITに握られて経営しているからです
グルメ媒体、SNS、予約、決済、どれか一つ失った瞬間お店は簡単に止まります"
,具体内容,6,14,
,解決策,6,15,
,見てる人の感情をなぞる,5,16,
エンド,自分の主張を曖昧にせず簡潔に完結させ、何かしらの行動を起こす示唆出し,4,17,"グルメ媒体・SNS・予約・決済、ログインできるかを今すぐ全部確認してください
ITは便利ですが、放置すると一番怖い
管理は、経営の基本です
・全媒体のID／PASSを一覧化
・管理者を1人決める
・引き継ぎルールを作る
これらを決めて運用しましょう"
,"1
過去に伸びたもの",,ネタメモ：悩みがつきない経営者→公式ライン追加で情報提供をしています,
構成,,秒数,シーン,"①セリフを考える（ライティング）
1本目"
フック,"主張をはっきりさせた結論＋問題定義
（極論でOK)",2,1,飲食店経営をしていて、悩みが一切ない人なんていません
問題提起,視聴者の感情を代弁,2,2,
,視聴者のやりがちな行動を代弁,2,3,
,それらを否定,1,4,
,"その問題を放置するといずれ訪れる
「最悪の未来」",3,5,
問題拡張,コールドリーディングで掌握,3,6,
,あなたのニーズや悩みの理解してますよ,2,7,
,その裏側にある感情の代弁,2,8,
,寄り添いと突き放し,2,9,
イントロ,このあとへの興味付けを加える,6,10,
,比較を用いて伝える,4,11,
,例え話で伝える,6,12,
解決,正解を断定的に伝える,4,13,"・数字のこと
・人のこと
・集客のこと
・将来のこと
一人で考え続けて正解が分からなくなっている経営者さん、ほんまに多いです。"
,具体内容,6,14,
,解決策,6,15,
,見てる人の感情をなぞる,5,16,
エンド,自分の主張を曖昧にせず簡潔に完結させ、何かしらの行動を起こす示唆出し,4,17,"経営の悩みは、一人で抱えるほどこじれます
でも悩みがあるのは、ちゃんと経営している証拠です。
もし今、誰にも相談できていないのであれば僕のプロフィールから公式ライン追加してみてください
飲食店経営に使える有益な情報も流していますよ"
,,,,
,"2
過去に伸びたもの",,ネタメモ：SNSやらんくていいお店,
構成,,秒数,シーン,"①セリフを考える（ライティング）
2本目"
フック,"主張をはっきりさせた結論＋問題定義
（極論でOK)",2,1,SNSをやらなくていいお店もあるんです
問題提起,視聴者の感情を代弁,2,2,
,視聴者のやりがちな行動を代弁,2,3,
,それらを否定,1,4,
,"その問題を放置するといずれ訪れる
「最悪の未来」",3,5,
問題拡張,コールドリーディングで掌握,3,6,
,あなたのニーズや悩みの理解してますよ,2,7,
,その裏側にある感情の代弁,2,8,
,寄り添いと突き放し,2,9,
イントロ,このあとへの興味付けを加える,6,10,
,比較を用いて伝える,4,11,
,例え話で伝える,6,12,
解決,正解を断定的に伝える,4,13,"一等地の家賃は毎月払う広告費です
人通り・視認性・偶然の来店、これをお金で買っている状態です
一方で二等地・裏通り・住宅街・郊外ここはSNS必須です
人通りがない代わりに、マーケで来店理由を作らないと成立しないです"
,具体内容,6,14,
,解決策,6,15,
,見てる人の感情をなぞる,5,16,
エンド,自分の主張を曖昧にせず簡潔に完結させ、何かしらの行動を起こす示唆出し,4,17,家賃を払って立地集客を取るかマーケ費用を払って理由集客を取るかのどちらかです
,,,,
,"3
過去に伸びたもの",,ネタメモ：原価計算めんどい,
構成,,秒数,シーン,"①セリフを考える（ライティング）
3本目"
フック,"主張をはっきりさせた結論＋問題定義
（極論でOK)",2,1,正直原価計算、面倒ですよね
問題提起,視聴者の感情を代弁,2,2,
,視聴者のやりがちな行動を代弁,2,3,
,それらを否定,1,4,
,"その問題を放置するといずれ訪れる
「最悪の未来」",3,5,
問題拡張,コールドリーディングで掌握,3,6,
,あなたのニーズや悩みの理解してますよ,2,7,
,その裏側にある感情の代弁,2,8,
,寄り添いと突き放し,2,9,
イントロ,このあとへの興味付けを加える,6,10,
,比較を用いて伝える,4,11,
,例え話で伝える,6,12,
解決,正解を断定的に伝える,4,13,"でも、「めんどいからやらん」を続けているお店ほど、気づかんうちに利益を削っています
原価計算を後回しにする店は、一生なんで儲からないかが分かりません"
,具体内容,6,14,
,解決策,6,15,
,見てる人の感情をなぞる,5,16,
エンド,自分の主張を曖昧にせず簡潔に完結させ、何かしらの行動を起こす示唆出し,4,17,"なので今回は、原価計算と連動したレシピシートを配布します
レシピをメモってるだけで原価計算がほぼできるのでぜひ欲しい方はコメントください"
,,,,
,"4
過去に伸びたもの",,ネタメモ：既製品を正しく味方につけろ,
構成,,秒数,シーン,"①セリフを考える（ライティング）
4本目"
フック,"主張をはっきりさせた結論＋問題定義
（極論でOK)",2,1,既製品＝プロじゃない、この考えが原価と人件費を無駄に押し上げています
問題提起,視聴者の感情を代弁,2,2,
,視聴者のやりがちな行動を代弁,2,3,
,それらを否定,1,4,
,"その問題を放置するといずれ訪れる
「最悪の未来」",3,5,
問題拡張,コールドリーディングで掌握,3,6,
,あなたのニーズや悩みの理解してますよ,2,7,
,その裏側にある感情の代弁,2,8,
,寄り添いと突き放し,2,9,
イントロ,このあとへの興味付けを加える,6,10,
,比較を用いて伝える,4,11,
,例え話で伝える,6,12,
解決,正解を断定的に伝える,4,13,"既製品は代替じゃなくて工程を買うという選択です
既製品を使うと
・原価が安定する（ブレない）
・人件費が下がる（仕込み・教育が減る）
・品質が揃う（属人化しない）
しかも今の既製品は、ベースだけ既製で仕上げは店でというハイブリッド運用が前提で作られているも増えました"
,具体内容,6,14,
,解決策,6,15,
,見てる人の感情をなぞる,5,16,
エンド,自分の主張を曖昧にせず簡潔に完結させ、何かしらの行動を起こす示唆出し,4,17,"これからは賢く既製品を使える料理人が必要とされています
既製品を利益を守るための戦略として取り入れてみませんか？"
,,,,
,"5
今伸びてるもの",,ネタメモ：面接のやり方,
構成,,秒数,シーン,"①セリフを考える（ライティング）
5本目"
フック,"主張をはっきりさせた結論＋問題定義
（極論でOK)",2,1,面接は能力採用ではなく人格採用をするべきです
問題提起,視聴者の感情を代弁,2,2,
,視聴者のやりがちな行動を代弁,2,3,
,それらを否定,1,4,
,"その問題を放置するといずれ訪れる
「最悪の未来」",3,5,
問題拡張,コールドリーディングで掌握,3,6,
,あなたのニーズや悩みの理解してますよ,2,7,
,その裏側にある感情の代弁,2,8,
,寄り添いと突き放し,2,9,
イントロ,このあとへの興味付けを加える,6,10,
,比較を用いて伝える,4,11,
,例え話で伝える,6,12,
解決,正解を断定的に伝える,4,13,"採用はゴールではなく、マネジメントの入口です
面接を期待値すり合わせの場にできるのが優秀な面接官です
特に面接で見るのはこの3点です
Will：やりたいこと
Can：できること
Must：求められること
特に重要なのはWillとMustの重なり。
「本人がやりたい方向」と「会社が求める役割」が重なっていない人はいずれ辞めます"
,具体内容,6,14,
,解決策,6,15,
,見てる人の感情をなぞる,5,16,
エンド,自分の主張を曖昧にせず簡潔に完結させ、何かしらの行動を起こす示唆出し,4,17,"「このお店での仕事で、どんな時にやりがいを感じると思いますか？」
面接時にこの一言を必ず聞くようにすると判断しやすいですよ"
,,,,
,"6
今伸びてるもの",,ネタメモ：脳のリソース,
構成,,秒数,シーン,"①セリフを考える（ライティング）
6本目"
フック,"主張をはっきりさせた結論＋問題定義
（極論でOK)",2,1,今の時代の飲食店経営者に足りていないのは考える余白です
問題提起,視聴者の感情を代弁,2,2,
,視聴者のやりがちな行動を代弁,2,3,
,それらを否定,1,4,
,"その問題を放置するといずれ訪れる
「最悪の未来」",3,5,
問題拡張,コールドリーディングで掌握,3,6,
,あなたのニーズや悩みの理解してますよ,2,7,
,その裏側にある感情の代弁,2,8,
,寄り添いと突き放し,2,9,
イントロ,このあとへの興味付けを加える,6,10,
,比較を用いて伝える,4,11,
,例え話で伝える,6,12,
解決,正解を断定的に伝える,4,13,"経営者の価値は「判断の質」です
情報飽和社会では
・事務
・連絡
・確認
・微調整
こういったタスクが脳内リソースを静かに食い尽くします
その結果、決断が先延ばしになる、優先順位がブレる、本来やるべき判断を見落とすといった弊害が生まれます"
,具体内容,6,14,
,解決策,6,15,
,見てる人の感情をなぞる,5,16,
エンド,自分の主張を曖昧にせず簡潔に完結させ、何かしらの行動を起こす示唆出し,4,17,"これを防ぐ方法は外注とDXです
考えなくていいことを脳から追い出すだけ
任せるのは仕事じゃなくて思考負荷です
脳のリソースが空いた時経営は一段上に進みます"
,,,,
,"7
今伸びてるもの",,ネタメモ：節税は貧乏の入り口,
構成,,秒数,シーン,"①セリフを考える（ライティング）
7本目"
フック,"主張をはっきりさせた結論＋問題定義
（極論でOK)",2,1,節税は、やり方を間違えると貧乏の入り口です
問題提起,視聴者の感情を代弁,2,2,
,視聴者のやりがちな行動を代弁,2,3,
,それらを否定,1,4,
,"その問題を放置するといずれ訪れる
「最悪の未来」",3,5,
問題拡張,コールドリーディングで掌握,3,6,
,あなたのニーズや悩みの理解してますよ,2,7,
,その裏側にある感情の代弁,2,8,
,寄り添いと突き放し,2,9,
イントロ,このあとへの興味付けを加える,6,10,
,比較を用いて伝える,4,11,
,例え話で伝える,6,12,
解決,正解を断定的に伝える,4,13,"税金は減ったけど会社も弱くなっているというのがよくある失敗です
ダメな節税の典型はこれです
・必要ない支出を増やす
・今いらないものを買う
・利益を消すためだけの経費
本当にやるべきは逆で
・利益を出す
・キャッシュを厚くする
・投資できる状態を作る
その上で残った利益をどう扱うかを考えましょう"
,具体内容,6,14,
,解決策,6,15,
,見てる人の感情をなぞる,5,16,
エンド,自分の主張を曖昧にせず簡潔に完結させ、何かしらの行動を起こす示唆出し,4,17,"節税が先に来る経営は必ず判断が歪みます
税金を嫌って利益を嫌う経営は長くは続きません
稼ぐ力を強くする方を優先しましょう"
,,,,
,"8
今伸びてるもの",,ネタメモ：昔はきつかった武勇伝もうやめません？令和ですよ？,
構成,,秒数,シーン,"①セリフを考える（ライティング）
8本目"
フック,"主張をはっきりさせた結論＋問題定義
（極論でOK)",2,1,昔はきつかった武勇伝もうやめません？令和ですよ？
問題提起,視聴者の感情を代弁,2,2,
,視聴者のやりがちな行動を代弁,2,3,
,それらを否定,1,4,
,"その問題を放置するといずれ訪れる
「最悪の未来」",3,5,
問題拡張,コールドリーディングで掌握,3,6,
,あなたのニーズや悩みの理解してますよ,2,7,
,その裏側にある感情の代弁,2,8,
,寄り添いと突き放し,2,9,
イントロ,このあとへの興味付けを加える,6,10,
,比較を用いて伝える,4,11,
,例え話で伝える,6,12,
解決,正解を断定的に伝える,4,13,"「俺たちが若い頃はもっと大変やった」の一言で、人は静かに離れます
根性論と長時間労働は、育成でも文化でもない時代遅れのマネジメントです
厳しさは必要ですが、暴力や無駄な拘束は要らないです"
,具体内容,6,14,
,解決策,6,15,
,見てる人の感情をなぞる,5,16,
エンド,自分の主張を曖昧にせず簡潔に完結させ、何かしらの行動を起こす示唆出し,4,17,"武勇伝は、組織を強くしません
時代に合ったやり方を選べる組織だけが人も成果も残します"
,,,,
,"9
今伸びてるもの",,ネタメモ：休憩どこで取ってるかでお店の繁盛具合が分かります,
構成,,秒数,シーン,"①セリフを考える（ライティング）
9本目"
フック,"主張をはっきりさせた結論＋問題定義
（極論でOK)",2,1,どこで休憩を取っているかで、その店の繁盛度は分かります
問題提起,視聴者の感情を代弁,2,2,
,視聴者のやりがちな行動を代弁,2,3,
,それらを否定,1,4,
,"その問題を放置するといずれ訪れる
「最悪の未来」",3,5,
問題拡張,コールドリーディングで掌握,3,6,
,あなたのニーズや悩みの理解してますよ,2,7,
,その裏側にある感情の代弁,2,8,
,寄り添いと突き放し,2,9,
イントロ,このあとへの興味付けを加える,6,10,
,比較を用いて伝える,4,11,
,例え話で伝える,6,12,
解決,正解を断定的に伝える,4,13,"客席で休憩を取ると自然にお客様が見てる風景が見えてきます
照明で顔めっちゃ暗く見えるやん、BGMめちゃくちゃでかくない？、ここの机ガタついてるな
これ現場で営業中には見えません"
,具体内容,6,14,
,解決策,6,15,
,見てる人の感情をなぞる,5,16,
エンド,自分の主張を曖昧にせず簡潔に完結させ、何かしらの行動を起こす示唆出し,4,17,"休憩を客席で取るのは一番安いマーケティング調査です
客席で過ごした時間の分だけお店は良くなります
裏や毎回同じ席でしか休憩を取らないお店ほど、お客様の視界からズレていきます"
,,,,
,"10
今伸びてるもの",,ネタメモ：バックオフィスはDX化、キッチン内の管理は紙,
構成,,秒数,シーン,"①セリフを考える（ライティング）
10本目"
フック,"主張をはっきりさせた結論＋問題定義
（極論でOK)",2,1,コンサルに言われてタスク管理DX化したら現場崩壊しますよ
問題提起,視聴者の感情を代弁,2,2,
,視聴者のやりがちな行動を代弁,2,3,
,それらを否定,1,4,
,"その問題を放置するといずれ訪れる
「最悪の未来」",3,5,
問題拡張,コールドリーディングで掌握,3,6,
,あなたのニーズや悩みの理解してますよ,2,7,
,その裏側にある感情の代弁,2,8,
,寄り添いと突き放し,2,9,
イントロ,このあとへの興味付けを加える,6,10,
,比較を用いて伝える,4,11,
,例え話で伝える,6,12,
解決,正解を断定的に伝える,4,13,"事務周りはDX化、キッチン内の管理は紙が鉄則です
全部デジタル管理でやっているお店ほど、タスクが漏れて、ミスが増えます
現場に合わない管理は、管理になりません"
,具体内容,6,14,
,解決策,6,15,
,見てる人の感情をなぞる,5,16,
エンド,自分の主張を曖昧にせず簡潔に完結させ、何かしらの行動を起こす示唆出し,4,17,"タスク管理は「考える場所」と「動く場所」で分けること
事務周りは履歴・検索・共有が命です
現場は手が汚れるわ、一瞬で見たいし、迷ったら即確認できるので紙のチェックリストが一番適してます
「タブレット開く時間」「ログインする手間」これ全部ミスとストレスの原因です
考える仕事はDXへ。動く仕事は紙へ。これだけは守ってください"
,,,,
,"11
新テーマ",,ネタメモ：小口会計が多い店舗,
構成,,秒数,シーン,"①セリフを考える（ライティング）
11本目"
フック,"主張をはっきりさせた結論＋問題定義
（極論でOK)",2,1,小口会計は例外対応にすべきで、日常運用にした瞬間から害になります
問題提起,視聴者の感情を代弁,2,2,
,視聴者のやりがちな行動を代弁,2,3,
,それらを否定,1,4,
,"その問題を放置するといずれ訪れる
「最悪の未来」",3,5,
問題拡張,コールドリーディングで掌握,3,6,
,あなたのニーズや悩みの理解してますよ,2,7,
,その裏側にある感情の代弁,2,8,
,寄り添いと突き放し,2,9,
イントロ,このあとへの興味付けを加える,6,10,
,比較を用いて伝える,4,11,
,例え話で伝える,6,12,
解決,正解を断定的に伝える,4,13,"横領リスクが一気に上がる
会計処理の工数が爆増する
人件費が無駄に膨らむ
原価管理がズレる
仕入れ基準が属人化する
在庫が増える・腐る・消える
経営者が状況を把握できない
百害あって一理なしです"
,具体内容,6,14,
,解決策,6,15,
,見てる人の感情をなぞる,5,16,
エンド,自分の主張を曖昧にせず簡潔に完結させ、何かしらの行動を起こす示唆出し,4,17,"小口は緊急時のみの対応にし、上限額をしっかりと決めて運用しましょう
買い出しは0にして業者仕入れを中心に切り替えましょう"
,,,,
,"12
トリガー",,ネタメモ：生産者に会いに行け,
構成,,秒数,シーン,"①セリフを考える（ライティング）
12本目"
フック,"主張をはっきりさせた結論＋問題定義
（極論でOK)",2,1,生産者に会いに行かない飲食人はどこかで代替されますよ
問題提起,視聴者の感情を代弁,2,2,
,視聴者のやりがちな行動を代弁,2,3,
,それらを否定,1,4,
,"その問題を放置するといずれ訪れる
「最悪の未来」",3,5,
問題拡張,コールドリーディングで掌握,3,6,
,あなたのニーズや悩みの理解してますよ,2,7,
,その裏側にある感情の代弁,2,8,
,寄り添いと突き放し,2,9,
イントロ,このあとへの興味付けを加える,6,10,
,比較を用いて伝える,4,11,
,例え話で伝える,6,12,
解決,正解を断定的に伝える,4,13,"生産者に会いに行く理由は物語を背負うためです
畑を見る。海を見る。人の顔を見る。
そこで分かるのは、
・なぜこの食材がこの価格なのか
・どんな苦労と選択の上にあるのか
・どこを一番大事にして作っているのか
これを知った瞬間、
スタッフが食材を無駄にしなくなるし扱いが丁寧になる
サービスマンは伝え方が変わります
結果料理に説得力が宿るんです"
,具体内容,6,14,
,解決策,6,15,
,見てる人の感情をなぞる,5,16,
エンド,自分の主張を曖昧にせず簡潔に完結させ、何かしらの行動を起こす示唆出し,4,17,"飲食人の仕事は、「作る」だけじゃありません。
「伝える」仕事です。"
,"1
過去に伸びたもの",,ネタメモ：契約書をちゃんと読まないとダメ,
構成,,秒数,シーン,"①セリフを考える（ライティング）
1本目"
フック,"主張をはっきりさせた結論＋問題定義
（極論でOK)",2,1,契約書を読まないのは経営判断を放棄しているのと同じです
問題提起,視聴者の感情を代弁,2,2,
,視聴者のやりがちな行動を代弁,2,3,
,それらを否定,1,4,
,"その問題を放置するといずれ訪れる
「最悪の未来」",3,5,
問題拡張,コールドリーディングで掌握,3,6,
,あなたのニーズや悩みの理解してますよ,2,7,
,その裏側にある感情の代弁,2,8,
,寄り添いと突き放し,2,9,
イントロ,このあとへの興味付けを加える,6,10,
,比較を用いて伝える,4,11,
,例え話で伝える,6,12,
解決,正解を断定的に伝える,4,13,"まずは解約条件・責任の所在・期間と更新の3点だけ線を引いてください
全部読めなくていいので不利になるポイントだけは逃さないようにしましょう"
,具体内容,6,14,
,解決策,6,15,
,見てる人の感情をなぞる,5,16,
エンド,自分の主張を曖昧にせず簡潔に完結させ、何かしらの行動を起こす示唆出し,4,17,契約は作業にせずに経営リテラシーと思って取り組んでください
,,,,
,"2
過去に伸びたもの",,ネタメモ：バックオフィスを作るなら絶対に経理から,
構成,,秒数,シーン,"①セリフを考える（ライティング）
2本目"
フック,"主張をはっきりさせた結論＋問題定義
（極論でOK)",2,1,バックオフィスを作るなら絶対に経理からです
問題提起,視聴者の感情を代弁,2,2,
,視聴者のやりがちな行動を代弁,2,3,
,それらを否定,1,4,
,"その問題を放置するといずれ訪れる
「最悪の未来」",3,5,
問題拡張,コールドリーディングで掌握,3,6,
,あなたのニーズや悩みの理解してますよ,2,7,
,その裏側にある感情の代弁,2,8,
,寄り添いと突き放し,2,9,
イントロ,このあとへの興味付けを加える,6,10,
,比較を用いて伝える,4,11,
,例え話で伝える,6,12,
解決,正解を断定的に伝える,4,13,"人事でも、総務でも、広報でもないです
経理を後回しにする会社ほど判断が遅く、成長が鈍ります
理由は簡単で経営は数字でしか前に進まないからです"
,具体内容,6,14,
,解決策,6,15,
,見てる人の感情をなぞる,5,16,
エンド,自分の主張を曖昧にせず簡潔に完結させ、何かしらの行動を起こす示唆出し,4,17,"経理は意思決定を可能にする部署です
経理が整うと
・月次で利益が見える
・原価と人件費のズレに気づける
・投資していいか、止めるべきか判断できる
組織が大きくなるほど社長の勘は通用しなくなるので数字で決められる仕組作りをしていきましょう"
,,,,
,"3
過去に伸びたもの",,ネタメモ：補助金に頼ってたら銀行からお金借りにくくなりますよ,
構成,,秒数,シーン,"①セリフを考える（ライティング）
3本目"
フック,"主張をはっきりさせた結論＋問題定義
（極論でOK)",2,1,補助金頼りの経営は使い方を間違えると一気に首を絞めます
問題提起,視聴者の感情を代弁,2,2,
,視聴者のやりがちな行動を代弁,2,3,
,それらを否定,1,4,
,"その問題を放置するといずれ訪れる
「最悪の未来」",3,5,
問題拡張,コールドリーディングで掌握,3,6,
,あなたのニーズや悩みの理解してますよ,2,7,
,その裏側にある感情の代弁,2,8,
,寄り添いと突き放し,2,9,
イントロ,このあとへの興味付けを加える,6,10,
,比較を用いて伝える,4,11,
,例え話で伝える,6,12,
解決,正解を断定的に伝える,4,13,"補助金をCFの「主役」にした瞬間、経営を歪めます
補助金頼りになると、必ず起きるのがこの3つ
・投資判断が甘くなる。
「必要だから」じゃなく
「補助金が出るから」で決め始めてしまう
・利益幅が削られる
補助金は初期費用だけ
運用・保守・人件費はずっと残る
・銀行から警戒される
「この会社、補助金がないと回らないのでは？」
そう見られた瞬間、融資は一気に慎重になります"
,具体内容,6,14,
,解決策,6,15,
,見てる人の感情をなぞる,5,16,
エンド,自分の主張を曖昧にせず簡潔に完結させ、何かしらの行動を起こす示唆出し,4,17,"ROIが曖昧なまま固定費だけ増やしてると月次で見るとじわじわ利益が薄くなってますよ
補助金がなくても黒字、もしくは投資の回収が数字で説明できる場合のみ使っていいブースト機能に過ぎません"
,,,,
,"4
過去に伸びたもの",,ネタメモ：一回に食べれる総量300g〜500g,
構成,,秒数,シーン,"①セリフを考える（ライティング）
4本目"
フック,"主張をはっきりさせた結論＋問題定義
（極論でOK)",2,1,人が一回の食事で美味しく・無理なく食べられる量は300g〜500g前後です
問題提起,視聴者の感情を代弁,2,2,
,視聴者のやりがちな行動を代弁,2,3,
,それらを否定,1,4,
,"その問題を放置するといずれ訪れる
「最悪の未来」",3,5,
問題拡張,コールドリーディングで掌握,3,6,
,あなたのニーズや悩みの理解してますよ,2,7,
,その裏側にある感情の代弁,2,8,
,寄り添いと突き放し,2,9,
イントロ,このあとへの興味付けを加える,6,10,
,比較を用いて伝える,4,11,
,例え話で伝える,6,12,
解決,正解を断定的に伝える,4,13,"次を頼ませる余白を残さないと、満腹にさせてはしまっては客単価を自分で下げる行為です
量を減らすという考えではなく客単価と一皿あたりのg数をコントロールしてください"
,具体内容,6,14,
,解決策,6,15,
,見てる人の感情をなぞる,5,16,
エンド,自分の主張を曖昧にせず簡潔に完結させ、何かしらの行動を起こす示唆出し,4,17,"オーダー点数が増えて結果的に客単価は上がります
・「もう一品いける」
・「次は何にしよう」
が自然に生まれるとオーダー点数が増えて、結果的に客単価は上がります
次の一皿への導線を作るためにまずは人間の満腹になる量を把握しておきましょう"
,,,,
,"5
今伸びてるもの",,ネタメモ：ABC分析による利益改善方法,
構成,,秒数,シーン,"①セリフを考える（ライティング）
5本目"
フック,"主張をはっきりさせた結論＋問題定義
（極論でOK)",2,1,ABC分析を使いこなせてない店舗があまりにも多すぎる
問題提起,視聴者の感情を代弁,2,2,
,視聴者のやりがちな行動を代弁,2,3,
,それらを否定,1,4,
,"その問題を放置するといずれ訪れる
「最悪の未来」",3,5,
問題拡張,コールドリーディングで掌握,3,6,
,あなたのニーズや悩みの理解してますよ,2,7,
,その裏側にある感情の代弁,2,8,
,寄り添いと突き放し,2,9,
イントロ,このあとへの興味付けを加える,6,10,
,比較を用いて伝える,4,11,
,例え話で伝える,6,12,
解決,正解を断定的に伝える,4,13,"ABC分析を見てメニュー表に反映できていない時点で利益改善は起きません
原価パフォーマンスが良いものを意図的にA商品に持ち上げられて飲食店経営です"
,具体内容,6,14,
,解決策,6,15,
,見てる人の感情をなぞる,5,16,
エンド,自分の主張を曖昧にせず簡潔に完結させ、何かしらの行動を起こす示唆出し,4,17,"メニューは一覧表ではなく営業ツールです
数字で分けて見せ方で誘導する
それがABC分析による利益改善です"
,,,,
,"6
今伸びてるもの",,ネタメモ：どうやったら相談できますか？→無料面談,
構成,,秒数,シーン,"①セリフを考える（ライティング）
6本目"
フック,"主張をはっきりさせた結論＋問題定義
（極論でOK)",2,1,「どうやったら相談できますか？」って聞かれるんですが
問題提起,視聴者の感情を代弁,2,2,
,視聴者のやりがちな行動を代弁,2,3,
,それらを否定,1,4,
,"その問題を放置するといずれ訪れる
「最悪の未来」",3,5,
問題拡張,コールドリーディングで掌握,3,6,
,あなたのニーズや悩みの理解してますよ,2,7,
,その裏側にある感情の代弁,2,8,
,寄り添いと突き放し,2,9,
イントロ,このあとへの興味付けを加える,6,10,
,比較を用いて伝える,4,11,
,例え話で伝える,6,12,
解決,正解を断定的に伝える,4,13,"相談は、DM一本で大丈夫です
一時間みっちり相談に乗ります
特別な準備も上手く話す必要もありません
状況をそのまま話してもらえればOKです"
,具体内容,6,14,
,解決策,6,15,
,見てる人の感情をなぞる,5,16,
エンド,自分の主張を曖昧にせず簡潔に完結させ、何かしらの行動を起こす示唆出し,4,17,"悩みを言語化できた時点で経営は一歩前に進みます
もし今
・誰かに一度話して整理したい
・判断が合っているか確認したい
・一人で考えるのがしんどい
そう思っているならDMで「無料面談」と送ってください。"
,,,,
,"7
今伸びてるもの",,"ネタメモ：正直に言うと、
今の経営の仕方なら“この先も楽にはならない”可能性は高い",
構成,,秒数,シーン,"①セリフを考える（ライティング）
7本目"
