No,テーマ,シーン1,シーン2,シーン3,シーン4,シーン5,シーン6,シーン7,シーン8,シーン9,シーン10,シーン11,シーン12,シーン13,シーン14,シーン15,シーン16,シーン17,参考例ID
44,守り攻めのマインド　リスク志向（RQ）,あなたの店が伸び悩んでる原因、全員に同じリスク判断を求めてるからかもしれへんで。,「なんであの子は挑戦せえへんのやろ…」「なんであいつはすぐ突っ走るんや…」って思ったことありません？,慎重なスタッフに「もっと攻めろ！」、イケイケなスタッフに「ちゃんと確認せえ！」って、毎回同じこと言うてません？,それ、一番スタッフのやる気を削ぐやり方ですわ。,そのままやと、攻めるスタッフは辞めて、守るスタッフは萎縮して、結局誰も挑戦せえへん店になりますよ。,「なんでうちのスタッフは主体性ないんやろ」って、実は内心ずっと思ってません？,ほんまは、チーム一丸となって店を良くしていきたいだけやのに…って気持ち、よう分かります。,でも心のどこかで「全員が自分と同じように動いてくれたら楽やのに」って思ってしまってるんちゃいます？,その気持ちは分かるけど、人はそれぞれ違うんです。それ認めへんと、いつまで経ってもチームはバラバラですよ。,このあと、スタッフ一人ひとりの『リスクの取り方』を活かして、強い組織を作る方法を具体的に話します。,全員に同じことを求める店と、個性を活かす店。どっちが伸びるかは、もう分かりますよね？,サッカーチームで全員にフォワードやれって言わへんでしょ？ディフェンスがおるから、安心して攻められるんです。,マネジメントは能力を伸ばすんやなくて、スタッフのリスクの取り方を設計する仕事なんです。,攻め型には挑戦の場を、守り型には改善の場を与える。それぞれの得意な土俵で戦わせてあげるんです。,まずは次のミーティングで、『最近挑戦したこと』と『最近改善したこと』を全員に聞いてみてください。タイプが見えてきます。,「なんで分かってくれへんのや」って悩んでたのは、相手の得意なリスクの取り方を理解してなかっただけかもしれへんのです。,守りと攻めのバランスが最強のチームを作ります。まずはスタッフの個性を見極めることから始めてみてください。,飲食店経営は“戦時”と“平時”を分けて考えろ;アルコール出ない問題;撤退しない店舗作りのための「最初の一等地」より、「最後に残る一席」の選び方;お客様の怒りや渇望→マーケ;PLは％で見れるように
45,自分は料理できひんしって経営者さん、それでいいんです,「自分は料理できひんし…」って経営者さん、それでええんです。むしろ、それが正解ですわ。,「料理もできんのに社長なんて…」って、どこかで引け目を感じてません？,せめて他の作業だけでもって、誰より早く店に来て仕込み手伝ったりしてませんか？,それ、ほんまは一番やったらあかんことです。,社長が現場作業に追われてたら、お店は今の売上のまま、一生スケールアップしまへんよ。,「自分がやった方が早いし、人件費も浮く」って思ってません？それ、一番高いコスト払ってます。,ほんまはもっと売上伸ばしたいし、新しいこともやりたい。でも日々の作業で手一杯…ってしんどいですよね。,「現場はスタッフに任せたい」って気持ちと、「自分がやらな回らん」って現実の板挟みになってません？,その気持ちめっちゃ分かります。でも、社長がプレイヤーのままやったら、お店の成長はそこで止まります。,料理ができなくても、お店を1億、2億と伸ばしていく社長が、一体何をしてるんか。今から全部話しますわ。,包丁を握る社長と、電卓を叩く社長。1年後、笑ってるのはどっちやと思います？,社長の仕事は、船のコックやなくて、行き先を決める船長なんです。漕ぐのはクルーに任せなあかんのです。,社長の仕事は、たった一つ。「意思決定」することです。料理や作業やありません。,やることは3つ。数字を見ること、仕組みを作ること、そして人に任せること。これだけですわ。,まずは明日の自分の予定を見てください。「作業」か「意思決定」か、全部仕分けしてみましょ。,「料理ができない」は弱みやないんです。現場を客観的に見て、仕組み化できる最高の強みですわ。,社長が現場を離れるほど、会社は前に進みます。決められる社長でいてください。,アルバイトの定着;開業してから考えるな　今いるお客さんの視点から逆算しろ;Google口コミ＝QSC＋店舗内研修;物件選びはなんかええな、じゃなくてロジックで選ばなあかん;ロードサイド型店舗の生き残り戦略
46,お店を始める時にデザイナーは絶対入れろ,お店始める時、デザイナー入れへんお店は100%高くつきますわ。,『内装なんて自分でできるし、その分安く済ませたい』って思いますよね。,知り合いの大工さんに頼んだり、DIYでなんとか安く上げようとしたり…ついやりがちです。,それ、一番お金をドブに捨てるやり方です。,オープンしてから『動線悪くてオペ回らん…』『席数増やしたいけど壁が…』ってなって、結局やり直し工事で大金が飛んでいきます。,ほんまは『デザイン料って何十万もするし、もったいない』って思ってません？,分かりますよ。開業資金ってカツカツやし、削れるとこは削りたいですもんね。,でも心のどこかで『まあ、なんとかなるやろ』って、見えないコストから目をそらしてません？,その気持ちは痛いほど分かるけど、後から払うお金の方が、何倍も高くつくんですよ。,今日は、初期投資をケチった内装が、将来どれだけ高くつくか、その恐ろしいワナを解説します。,目先の50万をケチって、後から200万払う店。最初からプロに頼んで、ずっと効率よく稼ぐ店。どっちがええですか？,素人が作った厨房って、毎日遠回りしながら料理作るようなもん。疲れもロスも積み重なって、じわじわ利益を削っていくんです。,結論、内装は『安く作る』もんやない。『儲かる仕組み』として設計するもんです。,大事なんは『効率的な動線』『最適な席配置』『コンセプトに合う照明や色』。これ全部、売上に直結します。,だからこそ、開業前にプロ入れて『半年後、1年後もこのレイアウトで戦えるか？』を徹底的にシミュレーションしてください。,最初に払うデザイン料は、未来の『やり直し費用』と『機会損失』を防ぐための、一番安い保険なんです。,ここはケチったらあかんとこ。しっかりプロ入れて、儲かるお店作りましょ。忘れないように保存してな。,売上目標の決め方;始めるより、撤退が上手い店が勝つ;人時売上高;エリアリサーチ　主導線と副動線;無借金経営のデメリット
47,月次決算は出せ,月次決算出してへん経営は、上手く行くはずがないんです。,「年に1回、税理士さんが出してくれるから大丈夫」って思てません？,毎月の売上はなんとなく把握してるけど、利益がいくらかは年末まで知らん…みたいな。,それ、目隠しで運転してるようなもんですよ。,気づいた時には赤字が膨らんでて、どこから手ぇつけてええかわからん状態になります。,正直、毎月の数字と向き合うのって、しんどいし、ちょっと怖い…って気持ち、ありません？,日々の仕込みや接客で手一杯で、経理まで手が回らん気持ち、めっちゃわかります。,「もしアカンかったらどうしよう」って、現実を見るのが怖いんですよね。,でも、その怖さから逃げてるうちは、お店は絶対に良くなりません。,このあと、月次決算がただの数字の確認やなくて、未来のお店のピンチを救う『健康診断』やってことがわかる話をします。,年1回の決算書は『死亡診断書』、月次決算は『毎月の健康診断』なんです。,例えるなら、火事が起きて全部燃えてから「火元はどこやったんやろ？」って探してるようなもん。それじゃ遅いんです。,コストをコントロールできるんは、月次で数字を見てるお店だけです。,見るべきポイントはたった3つ。「売上」「原価」「人件費」。これだけでええんです。,まずは先月分の数字を紙1枚に書き出してみてください。細かい勘定科目は後回しでOKです。,数字のズレって、小さいうちに見つけたらすぐ直せるんです。それが安心につながりますよ。,毎月同じ数字を見るクセをつけること。それが強いお店を作る第一歩です。,無借金経営のデメリット;スタッフが辞めるのは、給料のせいだけじゃない;閉業率が高く絶対に選ばない3つの業態;料理のこだわりより、提供の仕組み　味は記憶。動線は現実。;今もコロナ前と同じやり方してる店　変わらないことがリスク
48,ID、PASS管理してますか？,IDとパスワードを管理してへんお店は、いつ営業停止になってもおかしくないですよ。,グルメサイト、SNS、予約台帳…「あれ、ログイン情報どこやったっけ？」ってなってませんか？,「担当のスタッフしか知らん」「辞めたあの子が管理してた」…これ、ほんまに多いんです。,それ、ただの物忘れとちゃいます。経営のリスク放置です。,ある日突然ログインできんくなって、予約も発信もストップ。お店、一瞬で機能停止しますよ。,「ITとかよう分からんし、誰かやっとるやろ」って、見て見ぬフリしてません？,現場が忙しいから、そんな細かいことまで手が回らん気持ち、めっちゃ分かります。,でもそれって、お店の“命綱”を誰も管理してへんのと同じ状態なんです。,便利やからこそ、失った時のダメージがデカい。そのリスク、甘く見たらあきません。,これ、難しいITの話とちゃいます。お店を守るための、当たり前の“経営管理”の話なんです。,IDとパスワードって、お店の“鍵”と一緒。その鍵をそこらへんに置いとくのと、金庫で管理するの、どっちが安全です？,グルメ媒体、予約、決済…どれか一つでも止まったら、売上も信用も一気に落ちるの、想像できますよね？,今の飲食店はITに経営を握られてるんです。だから管理は必須なんです。,やることは3つだけ。全媒体のIDとパスワードを一覧にする。管理者を1人決める。引き継ぎルールを作る。,まずはエクセルでもノートでもええんで、全部書き出すことから始めてください。5分で終わります。,“いつでも誰でも分かる”状態にしとくだけで、「どうしよう…」っていう不安が1つ消えますよ。,グルメ媒体、SNS、予約、決済。今すぐ全部ログインできるか、確認してみてください。管理は経営の基本です。,あなたの店、SNSやる前に現場の空気が整ってますか？;AI×飲食　ChatGPTでできる3つの時短;現場のスタッフ全員で生産者に会いに行け;集客に即効性を求めてはいけない;歩留計算の仕方
49,悩みがつきない経営者→公式ライン追加で情報提供をしています,飲食店経営をしていて、悩みが一切ない人なんていません。もしおるなら、それは経営してないだけですわ。,数字のこと、人のこと、集客のこと…考えなあかんこと、ほんま多すぎますよね。,「とりあえず今日も頑張ろ」って、目の前の作業に没頭して、大事な悩みから目をそらしてませんか？,正直、それって問題の先延ばしにしかなってないんです。,気づいた時には手遅れで、誰にも相談できんまま孤独に店を畳む…そんな未来、絶対嫌でしょ？,「誰に相談したらええんやろ…」って、夜中に一人でスマホ見てため息ついてる経営者さん、ほんまに多いです。,将来のこと、お金のこと、スタッフのこと…頭の中がぐちゃぐちゃになる気持ち、僕もめっちゃ分かります。,でもほんまは、「このままで大丈夫なんか？」っていう漠然とした不安が、一番しんどいんですよね。,その悩み、真剣な証拠です。でも、一人で抱え込んでても絶対に答えは出ませんよ。,このリールでは、そんな経営者さんが“悩みの正体”を突き止めて、次の一歩を踏み出すための考え方をお伝えします。,一人で悩む経営と、壁打ち相手がおる経営とでは、問題解決のスピードが全然違います。,一人経営って、地図もコンパスも持たずに航海に出るようなもんですよ。そら遭難しますって。,経営の悩みは、まず“言語化して分解する”ことから始めるんです。これが全てのスタートですわ。,「数字・人・集客・将来」この4つに分けて、今一番ヤバいのはどれか、まず紙に書き出してみてください。,課題がはっきりすれば、やるべきことも見えてきます。一人で考え続けるより、誰かに話す方が100倍早いです。,「あ、悩んでええんや」って思えたら、ちょっとだけ心が軽くなりませんか？まずはそこからです。,悩みがあるのは、ちゃんと経営してる証拠です。もし誰にも相談できてへんのなら、僕のプロフから公式LINE追加してみてください。,人時売上高;マルチチャネル経営が必須;最強の戦略は凡事徹底;新卒を採っても育たない本当の理由　教育者が正解を持ちすぎてる;人が辞めないチームの作り方　給与より信じたくなる空気があるか
50,SNSやらんくていいお店,実は、SNSを必死にやらんでもええお店ってあるんですよ。,「SNSやらなあかん」って、正直しんどなってません？,毎日ネタ考えて投稿して、だんだん義務みたいになってる…。,でもその頑張り、お店の場所によっては意味ないかもしれへんのです。,SNSに時間と気ぃ取られて、肝心のお店のことが疎かになったら本末転倒です。,「周りもやってるし、うちもやらんと忘れられるんちゃうか」って不安になりますよね？,ほんまはもっと料理とかサービスに集中したいのに、って思てません？,結局、知ってもらわな始まらへんっていう焦りが、ずっと心を占めてるんですよね。,その気持ち、痛いほどわかります。でも、戦略なしで頑張るのはもう終わりにしましょ。,このリールを見れば、あなたのお店がSNSをやるべきかどうかがハッキリわかります。,人通りが多いお店と、わざわざ探して来てもらうお店とでは、お金のかけどころが全然違うんです。,例えば、駅前の一等地の高い家賃って、実は毎月払ってる“最強の広告費”なんですよ。,SNSをやるべきかどうかの答えは、あなたのお店の『家賃』にあります。,人通り・視認性がある一等地は、家賃が広告費。でも二等地や住宅街は、SNSで来店理由を作らんと誰も来ません。,あなたのお店はどっちですか？偶然見つけてもらえる立地か、目的がないと来てもらえない立地か。,自分の店の集客が『立地』なのか『マーケティング』なのか。これだけで、やるべきことがスッキリしますよ。,家賃で“立地集客”を買うか、SNSで“理由集客”を作るか。戦略はどっちかです。,繁盛してる風に騙されるな　1日100人来ても、潰れる店がある理由;一見客で回す飲食はいつか潰れる;撤退しない店舗作りのための「最初の一等地」より、「最後に残る一席」の選び方;FL60%なんて守っていたらやっていけない;竹矢匠吾が思う飲食店経営のやりがい
51,原価計算めんどい,原価計算を後回しにする店、一生儲かりません。,正直、めんどいですよね。感覚で「だいたいこれくらい」ってやってません？,新メニューのレシピは頭の中だけ。仕入れ値が上がっても、まあええかって値段そのままにしてません？,その「まあええか」が、一番危ないんです。,売れてるのに、なぜか利益が残らん。気づいた時には、人気メニューが赤字を垂れ流す“貧乏神”になってるんですよ。,「ちゃんとやらなアカン」って頭では分かってるけど、何から手つけてええか分からん…ってなってません？,いや分かりますよ。日々の仕込みや接客で手一杯で、細かい計算まで手が回らんのが現実ですよね。,ほんまは、「数字と向き合うのがしんどい」「今さら誰にも聞かれへん」って、後回しにしてるだけちゃいますか？,その気持ち、めっちゃ分かります。でも、それって穴の空いたバケツで水運んでるようなもんなんですよ。,今日は、そのめんどい原価計算と連動した、便利なレシピシートの話をします。,「感覚」で値付けする店から、「数字」で利益を守る店へ。これだけでお金の残り方が全然違います。,例えば、人気の唐揚げ定食。鶏肉の値段が10%上がったら、利益はいくら減るか。これ、即答できひんとヤバいんです。,原価計算を後回しにする店は、一生なんで儲からないかが分かりません。答えは全部、数字にあります。,でも、「めんどいからやらん」を続けてるお店ほど、気づかんうちに利益を削ってるんです。,レシピをメモってるだけで原価計算がほぼできるシート、作りました。これさえあれば、もう後回しにせんで済みます。,「なんでうちは利益が出えへんのやろ…」っていう不安、全部このシートが解決してくれますよ。,欲しい方は「レシピ」ってコメントください。どんぶり勘定は、今日で終わりにしましょ。,チェーン店に勝つ方法;料理のこだわりより、提供の仕組み　味は記憶。動線は現実。;スタッフが辞めない育成、実は評価制度より先にやるべきことがある;撤退しない店舗作りのための「最初の一等地」より、「最後に残る一席」の選び方;飲食店の店舗アカウントのプロフィール
52,既製品を正しく味方につけろ,既製品使うんはプロじゃない、その考えが店の首絞めてるんですよ。,「うちは全部手作りやから」って、それがプライドになってませんか？,朝早くからソース煮込んだり、長時間仕込みしたり…毎日大変ですよね。,でもそれ、ただの自己満になってるだけかもしれへんで。,このままやと仕込みに追われて人件費は膨らむし、味もブレてお客さん離れていきますよ。,ほんまはもっと効率よくしたいけど、手抜きって思われたくない…って葛藤してますよね？,味は落としたくない、でも時間も人手も足りひん。その気持ち、めっちゃ分かります。,既製品ってなんか罪悪感あるし、お客さんにバレたら恥ずかしいって思ってません？,そのこだわりは大事です。でも、守るべきはプライドより店の利益ちゃいますか？,今日は、利益を守りながら質も上げる、賢い既製品の使い方を全部教えます。,全部手作りでヒーヒー言うてる店と、「工程を買う」発想で余裕のある店。どっちが生き残ると思います？,今の既製品はすごいんです。ベースは既製品で、仕上げに店の隠し味を加えるハイブリッド運用が前提なんですよ。,既製品は代替やない。プロが『工程を買う』っていう賢い選択なんです。,これ使うだけで、原価は安定する、人件費は下がる、品質も揃う。ええことずくめです。,まずは今の仕込み工程を全部書き出して、「これ、買われへんか？」って視点で見直してみてください。,「手作り神話」から解放されたら、もっと大事な接客とか新メニュー開発に時間使えますよ。,これからは賢く既製品を使える料理人が必要です。利益を守るための戦略、取り入れてみませんか？,飲食店の店舗アカウントのプロフィール;ECサイト伸ばしたいなら、お客様がどんな時に食べるか想像して;歩留計算の仕方;お客様の怒りや渇望→マーケ;SNSなんて正直めんどい　でも伝える努力をやめへん理由
53,面接のやり方,面接で能力ばっかり見てる飲食店オーナーさん、それ一番人が辞める原因ですよ。,なんでうちの店は、ええ人が続かへんのやろ…って頭抱えてません？,職務経歴書ばっかり見て「で、何ができんの？」って圧迫気味に質問してたりとか。,それじゃその人の本質、見えてきませんよ。,スキルはあるけど店に合わん人が入ってきて、店の空気は悪なるし、結局すぐ辞めて…採用費だけが消えていきます。,「とにかく人手不足やから、すぐ働ける人がええ」って思ってますよね？,僕も昔は「即戦力」って言葉に弱くて、何回も採用で失敗しました。,結局、スキルがあっても「この店で頑張りたい」って気持ちがないと続かへんのです。,採用はゴールやないんです。そこからがマネジメントの始まりやって気づかなあきません。,この投稿では、お互いにとって「ええ出会いやった」と思える面接のコツ、お伝えしますね。,能力採用は「過去」を見る面接。人格採用は「未来」を一緒に作るための面接です。,例えるなら、レシピだけ見て料理人選ぶようなもん。大事なんは「どんな想いで料理するか」でしょ？,ええ面接官はスキルチェックやなくて、お互いの期待値をすり合わせる場として面接を使うんです。,見るべきはたった3つ。「やりたいこと」「できること」そして「店が求めること」です。,特に大事なんは「本人がやりたいこと」と「お店が求める役割」が重なってるか。ここがズレてたら、いずれ辞めてしまいます。,その人がこの店でイキイキ働いてる姿、想像できますか？それが一番の判断基準ですわ。,面接の最後に「この店での仕事で、どんな時にやりがいを感じると思いますか？」って聞いてみてください。答えにその人の全部が出ますよ。,ゾーニング;リピーター比率＝再訪人数÷来店延人数で算出　SNSが生きる最低条件を可視化　改善策（商品・接客・体験設計）;今もコロナ前と同じやり方してる店　変わらないことがリスク;人が辞めないチームの作り方　給与より信じたくなる空気があるか;物価高の今やるべきこと
54,脳のリソース,今の飲食店経営者に足りひんのは、お金でも時間でもなく、脳の余白ですわ。,なんか毎日忙しいのに、大事なこと何も決められてへん…ってなってませんか？,細かい事務作業とか、スタッフへの連絡とか、発注の確認とか…そういうのに追われてません？,それ、経営者の仕事ちゃいますよ。,そのままだと脳がパンクして、一番大事な決断を先延ばしにして、気づいた時には手遅れになりますよ。,「こんな細かいこと、人に任せられへんし…」って、結局自分で全部抱え込んでるでしょ？,わかりますよ。僕も昔は、自分でやった方が早いし確実やって思ってましたから。,ほんまはもっとメニュー開発とか、新しい企画とか考えたいのに、雑務で一日終わってるのがしんどいんですよね？,その気持ちは痛いほどわかるけど、そのやり方やとお店はこれ以上伸びません。,このあと、あなたの脳から『考えんでもええこと』を追い出して、経営を一段上にあげる方法を話します。,脳が雑務でパンパンの経営者と、大事な判断だけしてる経営者、どっちが店を成長させられると思いますか？,脳みそって厨房と一緒で、作業スペースがごちゃごちゃやったら、ええ料理作られへんでしょ？まずは片付けからですわ。,結論、経営者の価値は作業量やなくて『判断の質』で決まります。,まず、事務、連絡、確認。この3つのタスクを自分の仕事リストから消してください。,そのための答えが『外注』と『DX』。仕事を任せるんやなくて、思考の負荷を丸ごと手放すんです。,考えんでもええことが頭から消えた瞬間、ほんまにやりたかったことが見えてきますよ。,あなたの脳の余白が、お店の未来の余白です。まずは脳の大掃除から始めてみてください。,無意識のクセが命取り（所作は人格、ふるまいはブランド）;料理のこだわりより、提供の仕組み　味は記憶。動線は現実。;物価高の今やるべきこと;Google口コミ＝QSC＋店舗内研修;通販・実店舗・百貨店、全部やるべきほんまの理由は売上じゃなく耐性を作ってる
55,節税は貧乏の入り口,その節税、やり方間違えたら貧乏への入り口ですよ。,税金払うのって、なんかもったいないなぁって思いますよね。,決算前やからって、慌てていらんもん買うたり、無理やり経費作ったりしてませんか？,それ、一番やったらあかんやつです。,税金はちょっと減ったかもしれんけど、手元のお金はもっと減る。いざって時に何もできひん弱い店になってまうんです。,「税金で取られるくらいなら、経費で使った方がマシ」って、心のどこかで思ってません？,税金払うの嫌やなって気持ち、僕もめっちゃわかります。,でもそれって、利益を出すこと自体を怖がってるのと同じなんですよね。,その気持ちはわかるんですけど、その考え方が店の成長を一番止めとるんです。,今日は、貧乏になる節税と、ほんまに会社が強くなるお金の残し方、その決定的な違いを話します。,利益を消すために経費を使う店と、未来のために利益を残す店。3年後、生き残ってるのはどっちやと思います？,利益を消すための経費って、満席にするために無理やりタダ券配るみたいなもん。一瞬賑わうけど、店の価値は下がるだけなんです。,ほんまにやるべきは節税ちゃいます。まずしっかり利益を出して、キャッシュを分厚くすることなんです。,ダメな節税の典型は３つ。①必要ない支出を増やす、②今いらないものを買う、③利益を消すためだけの経費。これ、全部やめましょう。,やるべきことは逆です。まず利益を出す。税金を払う。そして残ったお金で未来に投資する。この順番が絶対です。,税金を払えるって、それだけ店が稼げてる証拠なんです。胸張ってええことなんですよ。,節税が目的になったら経営は歪みます。まずは稼ぐ力、これを一番に考えましょう。,予約ゼロ→満席に変えた価格の順番　値下げより設計が先;そのオペレーションを続けることが、継続コストがあなたの首を絞めてる;スタッフが辞めない育成、実は評価制度より先にやるべきことがある;FL比率;繁盛店＝「良さげな店」ではなく勝ちパターンを持ってる店
56,昔はきつかった武勇伝もうやめません？令和ですよ？,その武勇伝、もう誰も聞きたないですよ？令和なんで。,「俺らが若い頃はもっと大変やった」って言葉、正直もう響かへんのです。,寝ずに働いたとか、休み返上で仕込んだとか、つい言いたくなる気持ち、分かります。,でもそれ、今の時代じゃただのブラック自慢ですわ。,その話を聞いた若手は、静かに「この店はあかん」って見切りつけてますよ。,「最近の若い子はすぐ辞める」って、本気で思ってません？,自分の頑張りを認めてほしい、昔はそれが当たり前やった。そうですよね。,でもその言葉の裏には、「今のやり方じゃ勝てへんかも」っていう不安が隠れてるんです。,気持ちは痛いほど分かります。けど、時代はもう変わってしもたんです。,このあと、なぜその武勇伝が人を遠ざけ、組織を壊すのかを具体的にお話します。,昔のやり方にしがみつく店と、今のやり方に更新できる店の差は、5年後にはっきり出ます。,料理のレシピは時代に合わせて変えるのに、人の育て方だけ昭和のままやったら、そら誰もついてきません。,根性論と長時間労働は、もうマネジメントちゃいます。ただの思考停止です。,大事なんは、厳しさの質。無駄な苦労やなくて、成長につながる課題を与えることです。,「俺はこうやった」やなくて、「君ならどうする？」って問いかける。それだけで若手は自分で考え始めます。,あなたの経験は宝物です。でも、それを自慢話で終わらせるんか、未来の武器にするんかは、あなた次第なんです。,武勇伝は、組織を強くしません。時代に合ったやり方を選べる店だけが、生き残ります。,インスタグラマー集客はやめろ;新卒を採っても育たない本当の理由　教育者が正解を持ちすぎてる;閉業率が高く絶対に選ばない3つの業態;始めるより、撤退が上手い店が勝つ;飲食店は立地で決まる？
57,休憩どこで取ってるかでお店の繁盛具合が分かります,休憩どこで取ってるか見たら、その店が伸びるかどうかわかりますわ。,忙しいし、休憩なんてどこでもええわって思ってませんか？,いつもバックヤードとか、決まった隅っこの席でサッと済ませてません？,それ、一番大事な視点、見逃してますよ。,気づかんうちにお客さんの居心地を悪くしてて、静かに客足が遠のいていきます。,『いやいや、うちはちゃんと店見てるし』って、心のどっかで思いました？,営業中はバタバタで、細かいとこまで目ぇ行き届かんの、めっちゃわかります。,正直、休憩くらいは気ぃ抜きたいって思うのが本音ですよね。,でもその『気ぃ抜いた時間』が、お店の寿命を左右するんです。,今日は、お金をかけずに店の改善点を見つける、一番簡単な方法を教えます。,裏で休む店は現状維持。客席で休む店は毎日進化します。,休憩時間を『無料の覆面調査』に変えるんです。自分が一番厳しいお客さんになるんですよ。,答えはシンプル。毎日違う客席で休憩を取ることです。,『あれ、ここの照明、料理に影できてるな』とか『BGM、この席やとうるさいな』とか、絶対見つかります。,『机ガタついてへんか』『隣の席との距離感どうやろ』。お客さんの目で見てみるんです。営業中には絶対気づけませんから。,『うわ、ほんまや』って思うことが、一つでも見つかったら儲けもんです。,休憩は一番安いマーケティング調査です。裏で休んでる時間、もったいないですよ。,飲食店の店舗アカウントのプロフィール;POPの意味;ネット情報の統一化;ECサイト伸ばしたいなら、お客様がどんな時に食べるか想像して;インスタグラマー集客はやめろ
58,バックオフィスはDX化、キッチン内の管理は紙,コンサルに言われてタスク管理DX化したら、現場崩壊しますよ。,「うちもそろそろ全部デジタル化せなあかんのかな…」って焦ってませんか？,流行りのタスク管理ツール、とりあえずキッチンにも導入してみる。,それ、良かれと思ってやってる一番アカンやつです。,指示は漏れるわ、確認で手は止まるわで、ピークタイムにミス連発。結局誰も使わんようになります。,「うちのスタッフがIT苦手やからかな…」とか、人のせいにしてません？,もっと効率化したい、現場をラクにしたいって気持ちは痛いほどわかります。,でも本音は、ツールを入れるのが目的やなくて、ミスをなくしたいだけですよね？,その気持ちは大事やけど、場所を考えんと逆効果。現場がしんどなるだけです。,このあと、バックオフィスとキッチンで、なんで管理方法を分けるべきなんか、はっきり理由を話します。,全部デジタルの店はストレスでミスが増えて、紙と分ける店はスムーズに回ってミスが減るんです。,キッチンって戦場みたいなもんやないですか。戦場でいちいちスマホ開いてマニュアル見ます？それと同じですわ。,結論、事務作業はDX、キッチン内のタスク管理は紙。これが鉄則です。,理由はシンプル。「すぐ見れる」「すぐ書ける」「汚れてもええ」。現場はスピードが命なんで。,発注や勤怠はPCで。仕込みや清掃のチェックリストは、ラミネートした紙で壁に貼る。これだけでええんです。,「タブレット開く手間」とか「ログインのストレス」みたいな、ちっちゃいイライラがミスの原因やったって気づきました？,考える仕事はDXへ。動く仕事は紙へ。これだけは守ってください。,POSレジの紹介;googleマップの口コミ=顧客体験（小手先で上げれるものではない）;人が辞めないチームの作り方　給与より信じたくなる空気があるか;無意識のクセが命取り（所作は人格、ふるまいはブランド）;こだわりすぎて財務ぐだぐだ→実はこんなお店が好き
59,小口会計が多い店舗,その「ちょっとした買い出し」、お店の寿命縮めてるって気づいてますか？,「あ、あれ足りひん」ってなって、近所のスーパーに走る。日常になってません？,スタッフに現金渡して「お願い！」。その日の夜にレシートで精算。これ、普通になってませんか？,でも、その手軽さが一番の罠なんですわ。,気づいた頃には、誰が何に使ったか分からんお金が増えて、原価も合わん。最悪、横領のリスクまで出てきます。,「うちのスタッフは大丈夫」って、性善説で見て見ぬフリしてません？,急な品切れに対応せなあかんし、業者に頼むより早い。現場の気持ちも分かります。,でも心のどこかで、「これ、管理するん面倒やな…」って思ってますやんね。,その『面倒』を放置した結果が、お金が消えていく店なんです。,今から、その『ちょっとした買い出し』が引き起こす、経営を蝕む7つの大問題、全部お伝えします。,ちゃんと業者仕入れで管理してる店と、日々の買い出しで乗り切る店。1年後、笑ってるのはどっちやと思いますか？,小口会計って、バケツの底にちっちゃい穴が開いてる状態と一緒。気づかんうちに、店の利益がダダ漏れしてます。,結論、小口での買い出しは今日から原則禁止です。,横領のリスクが上がる、会計処理がめっちゃ増える、原価が合わんくなる。百害あって一理なしです。,やることは2つ。小口会計の上限額をしっかり決めること。そして、日々の買い出しをゼロにして、全部業者仕入れに切り替えること。,『便利』と『危険』は紙一重。経営者が守るべきは、目先の楽さちゃいますよ。,小口はあくまで緊急避難。まずは業者仕入れで99%回す仕組み、考えてみてください。,通販・実店舗・百貨店、全部やるべきほんまの理由は売上じゃなく耐性を作ってる;お客様の怒りや渇望→マーケ;始めるより、撤退が上手い店が勝つ;エリアリサーチ　主導線と副動線;物価高の今やるべきこと
60,生産者に会いに行け,生産者に会いに行かへん飲食店、ぶっちゃけ誰かに替えられますよ。,「うちの料理、なんか想いが伝わってへんな…」って感じることありません？,食材の良さを語るとき、「新鮮です！」とか「美味しいですよ！」だけで終わってませんか？,それ、お客さんには何も響いてないです。,そのままだと、料理の価値が伝わらんまま、ただの「高い店」で終わってしまいますよ。,「もっと食材のストーリーを語りたいけど、何を話せばええか分からん…」って思ってますよね？,産地とか品種を言うだけじゃ、お客さんの心は動かへん。僕も昔はそうでした。,ほんまは、この食材のすごさ、もっと伝えたいのに…って、もどかしい気持ちになりますよね。,その気持ちはめっちゃ分かります。でも、店にこもってるだけやと、何も変わらへんですよ。,今日は、料理に圧倒的な説得力を持たせるために、なんで「生産者に会いに行くべきか」を話します。,これを知ってる店と知らん店では、スタッフの目の輝きも、お客さんの満足度も、全然違います。,産地直送って言うても、ただ届いた箱を開けるだけじゃ、ただの「配達員」と一緒ですやん。,結論、生産者に会いに行く理由は「物語を背負う」ためです。,畑を見る、海を見る、人の顔を見る。そこで分かるのは、価格の理由、生産者の苦労、そして一番大事にしてる想いです。,これを知った瞬間、スタッフは食材を大事にするし、サービスマンは自分の言葉で語りだします。,「この野菜、〇〇さんが朝露の中、一個一個手で収穫してくれたんです」って、言えるようになりますよ。,飲食人の仕事は「作る」だけやない。「伝える」仕事です。まずは近所の農家さんから、会いに行ってみません？,スタッフに任せる前に、なんでやるべきかの視座を揃える　自由＝放置じゃない;財務三表の説明;アルコール出ない問題;誕生日よりも水曜日を狙え;焼肉屋の仕込みの壁を超える仕組みとは
